,movieId,title,genres
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,2,Jumanji (1995),Adventure|Children|Fantasy
2,3,Grumpier Old Men (1995),Comedy|Romance
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance
4,5,Father of the Bride Part II (1995),Comedy
5,6,Heat (1995),Action|Crime|Thriller
6,7,Sabrina (1995),Comedy|Romance
8,9,Sudden Death (1995),Action
9,10,GoldenEye (1995),Action|Adventure|Thriller
10,11,"American President, The (1995)",Comedy|Drama|Romance
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror
13,14,Nixon (1995),Drama
14,15,Cutthroat Island (1995),Action|Adventure|Romance
15,16,Casino (1995),Crime|Drama
16,17,Sense and Sensibility (1995),Drama|Romance
17,18,Four Rooms (1995),Comedy
18,19,Ace Ventura: When Nature Calls (1995),Comedy
19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
20,21,Get Shorty (1995),Comedy|Crime|Thriller
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
22,23,Assassins (1995),Action|Crime|Thriller
23,24,Powder (1995),Drama|Sci-Fi
24,25,Leaving Las Vegas (1995),Drama|Romance
25,26,Othello (1995),Drama
27,28,Persuasion (1995),Drama|Romance
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,31,Dangerous Minds (1995),Drama
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
33,34,Babe (1995),Children|Drama
35,36,Dead Man Walking (1995),Crime|Drama
36,39,Clueless (1995),Comedy|Romance
38,41,Richard III (1995),Drama|War
39,42,Dead Presidents (1995),Action|Crime|Drama
40,43,Restoration (1995),Drama
41,44,Mortal Kombat (1995),Action|Adventure|Fantasy
42,45,To Die For (1995),Comedy|Drama|Thriller
43,46,How to Make an American Quilt (1995),Drama|Romance
44,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
45,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
47,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
48,52,Mighty Aphrodite (1995),Comedy|Drama|Romance
53,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
55,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
57,62,Mr. Holland's Opus (1995),Drama
58,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
60,65,Bio-Dome (1996),Comedy
61,66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
63,69,Friday (1995),Comedy
64,70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
68,74,Bed of Roses (1996),Drama|Romance
70,76,Screamers (1995),Action|Sci-Fi|Thriller
72,79,"Juror, The (1996)",Drama|Thriller
74,81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
79,86,White Squall (1996),Action|Adventure|Drama
81,88,Black Sheep (1996),Comedy
82,89,Nick of Time (1995),Action|Thriller
84,92,Mary Reilly (1996),Drama|Horror|Thriller
86,94,Beautiful Girls (1996),Comedy|Drama|Romance
87,95,Broken Arrow (1996),Action|Adventure|Thriller
89,97,"Hate (Haine, La) (1995)",Crime|Drama
90,100,City Hall (1996),Drama|Thriller
91,101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
94,104,Happy Gilmore (1996),Comedy
95,105,"Bridges of Madison County, The (1995)",Drama|Romance
96,107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
98,110,Braveheart (1995),Action|Drama|War
99,111,Taxi Driver (1976),Crime|Drama|Thriller
100,112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
108,122,Boomerang (1992),Comedy|Romance
109,123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
